ft,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Mileage kmpl,Engine CC,seater,City
Diesel,100000,Manual,2,Volkswagen,Volkswagen Vento,2012,Diesel Highline,42500.0,20.54,1598.0,5.0,Bangalore
Petrol,30000,Manual,1,Honda,Honda City,2019,i-VTEC V,107000.0,17.4,1497.0,5.0,Bangalore
Petrol,49690,Manual,2,Ford,Ford Ecosport,2018,1.5 Petrol Titanium,102500.0,15.9,1496.0,5.0,Bangalore
Diesel,110000,Manual,1,Mahindra,Mahindra XUV500,2016,W6 2WD,100000.0,16.0,2179.0,3.0,Bangalore
Petrol,50000,Manual,1,Fiat,Fiat Linea,2009,Emotion Pack,37500.0,16.0,1368.0,5.0,Bangalore
Petrol,50000,Manual,1,Fiat,Fiat Linea,2009,Emotion Pack,37500.0,16.0,1368.0,5.0,Bangalore
Petrol,55702,Automatic,1,Ford,Ford Ecosport,2018,1.5 Petrol Titanium Plus AT BSIV,84400.0,14.8,1497.0,5.0,Bangalore
Diesel,45046,Manual,1,Hyundai,Hyundai i20 Active,2016,1.4 SX,76400.0,21.19,1396.0,5.0,Bangalore
Petrol,53000,Manual,2,Maruti,Maruti Ritz,2014,VXi,42000.0,18.5,1197.0,3.0,Bangalore
Diesel,94695,Manual,1,Maruti,Maruti Baleno,2016,1.3 Alpha,68400.0,27.39,1248.0,5.0,Bangalore
Petrol,22162,Manual,1,Maruti,Maruti Baleno,2019,1.2 Alpha,80300.0,21.4,1197.0,5.0,Bangalore
Petrol,70000,Manual,2,Hyundai,Hyundai Santro Xing,2010,GLS,32000.0,17.92,1086.0,5.0,Bangalore
Diesel,115331,Manual,1,Honda,Honda City,2017,i DTec V,80399.99999999999,26.0,1498.0,5.0,Bangalore
Diesel,70000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,E 220 CDI Avantgarde,140000.0,10.0,2148.0,5.0,Bangalore
Petrol,42233,Manual,2,Maruti,Maruti Swift,2016,VXI,54800.00000000001,22.38,1197.0,3.0,Bangalore
Petrol,20941,Manual,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz BSIV,61900.00000000001,18.9,1197.0,3.0,Bangalore
Diesel,50000,Manual,2,Maruti,Maruti Vitara Brezza,2018,ZDi Plus Dual Tone,100000.0,24.3,1248.0,5.0,Bangalore
Petrol,46602,Manual,1,Honda,Honda WR-V,2018,i-VTEC VX,86500.0,17.5,1199.0,5.0,Bangalore
